Time,,2015,2016,2017,2018,2019,2020,2021
Country,,,,,,,,
Algeria,,..,7.34436,6.50538,5.86635,6.10036,..,..
Andorra,,3.28035,3.23707,3.21709,3.24672,3.15061,..,..
Angola,,3.4869,2.75494,2.46688,2.0447,1.82118,..,..
Anguilla,,2.97964,3.1711,3.6454,3.62799,..,..,..
Antigua and Barbuda,,..,2.4308,2.44848,2.64408,2.82215,3.32162,..
Argentina,,5.77611,5.54549,5.45432,4.94552,4.80237,..,..
Armenia,,2.80591,2.75812,2.70759,2.25587,2.56185,2.70476,..
Aruba,,5.88827,5.49135,..,..,..,..,..
Australia,,5.31127,5.27678,5.1279,5.10789,..,..,..
Austria,,5.45658,5.47962,5.37189,5.22536,..,..,..
Azerbaijan,,2.95168,2.90341,2.47382,2.45543,2.68108,..,..
Bahamas,,2.28832,2.32517,2.4185,2.30952,2.39893,2.51088,..
Bahrain,,2.67454,..,2.32452,..,..,..,..
Bangladesh,,..,1.53554,..,..,1.32632,..,..
Barbados,,5.38292,4.70732,4.36638,5.42886,3.20399,4.29516,..
Belarus,,4.78752,4.94655,4.79499,5.38111,4.97948,4.95245,..
Belgium,,6.45157,6.46173,6.42534,6.37664,..,..,..
Belize,,6.87015,7.29365,7.45028,7.47227,7.13839,7.94096,..
Benin,,3.17298,2.8991,3.53559,2.93397,2.9652,..,..
Bermuda,,1.50164,..,1.32496,..,..,..,..
Bhutan,,7.5901,6.99333,7.22574,6.85084,..,..,..
Botswana,,7.80652,7.97482,7.1,6.72133,6.91437,..,..
Brazil,,6.24106,6.31404,6.32048,6.08851,..,..,..
British Virgin Islands,,5.13479,3.79742,2.66543,2.69413,2.91879,..,..
Brunei Darussalam,,..,4.42541,..,..,..,..,..
Bulgaria,,..,..,4.09102,..,..,..,..
Burkina Faso,,3.67009,..,5.62847,5.43056,5.78548,..,..
Burundi,,6.37054,4.692,4.76202,5.07865,..,..,..
Cambodia,,..,..,..,2.16286,..,..,..
Cameroon,,2.76805,2.65423,3.15482,3.1312,3.1005,..,..
Cabo Verde,,5.26691,5.28879,5.18175,5.36885,4.73346,..,..
Central African Republic,,1.91023,1.75409,1.75365,1.56588,1.76871,..,..
Chad,,2.4,2.3,2.45482,2.25948,2.37246,..,..
Chile,,4.87531,5.34201,5.41966,5.43317,..,..,..
China,,3.82487,3.79362,3.66745,3.54249,..,..,..
"China, Hong Kong Special Administrative Region",,3.26212,3.29265,3.3101,3.32652,3.8106,4.40634,..
"China, Macao Special Administrative Region",,3.00165,3.09854,2.70558,2.72788,3.06146,..,..
Colombia,,4.47039,4.47721,4.53551,4.4491,4.50622,..,..
Comoros,,2.54506,..,..,..,..,..,..
Congo,,3.28258,5.20979,4.44297,3.00147,3.898,..,..
Cook Islands,,3.8559,4.35619,2.91693,4.01551,3.50426,..,..
Costa Rica,,6.8735,6.89396,7.06981,6.77907,6.80879,6.74626,..
Côte d'Ivoire,,3.49416,3.97232,3.80348,3.23994,3.7004,..,..
Croatia,,..,..,3.90567,..,..,..,..
Cyprus,,6.32613,6.14541,5.75417,..,..,..,..
Czechia,,5.75182,5.55373,3.80616,4.26692,..,..,..
Democratic Republic of the Congo,,2.17044,2.11869,1.45495,..,..,..,..
Denmark,,..,..,7.75244,..,..,..,..
Djibouti,,3.59024,3.92439,3.74856,3.62774,..,..,..
Dominica,,3.40858,5.12972,4.76675,5.57155,5.57161,4.99813,..
Dominican Republic,,3.81624,3.8505,3.92027,3.92849,4.04277,..,..
